"","artistName","category","trackName","energy","startTime","energy_level","duration"
"1","Alex Turner","wolne","Stuck on the puzzle",0.682,2022-12-19 10:09:28,"fast",190
"2","Alexis Ffrench","inne","Have Yourself a Merry Little Christmas",0.12,2022-12-16 16:13:58,"slow",93
"3","Alicja","inne","Koleda Dla Nieobecnych",0.183,2022-12-16 14:36:33,"slow",39
"4","Alicja","wolne","Koleda Dla Nieobecnych",0.183,2022-12-16 14:36:33,"slow",23
"5","Arctic Monkeys","inne","R U Mine?",0.758,2022-12-19 10:13:38,"fast",59
"6","Arctic Monkeys","wolne","R U Mine?",0.758,2022-12-19 10:13:38,"fast",104
"7","Baby Lulu","inne","Children Go Where I Send Thee",0.124,2022-12-16 15:51:25,"slow",11
"8","Baby Lulu","inne","O Come All Ye Faithful",0.0232,2022-12-16 16:17:52,"slow",90
"9","Baby Lulu","inne","Rudolph the Red-Nosed Reindeer",0.12,2022-12-16 16:04:47,"slow",87
"10","Baby Lulu","wolne","Children Go Where I Send Thee",0.124,2022-12-16 15:51:25,"slow",45
"11","Beach House","inne","Space Song",0.792,2022-12-15 22:21:57,"fast",71
"12","Beach House","studia","Space Song",0.792,2022-12-15 22:21:57,"fast",39
"13","Beach House","wolne","Space Song",0.792,2022-12-15 22:21:57,"fast",28
"14","Bobby Helms","inne","Jingle Bell Rock",0.424,2022-12-18 12:31:49,"medium",130
"15","Bobby Helms","wolne","Jingle Bell Rock",0.424,2022-12-23 20:52:22,"medium",37
"16","Chloe Flower","inne","The First Noel",0.137,2022-12-16 15:24:41,"slow",138
"17","Claus Egan","inne","God rest you Merry Gentlemen",0.254,2022-12-16 15:26:58,"slow",61
"18","Claus Egan","inne","Silent Night",0.00295,2022-12-16 15:37:42,"slow",62
"19","Claus Egan","studia","Joy to the World",0.0142,2022-12-18 12:28:43,"slow",15
"20","David Schultz","inne","Driving Home for Christmas",0.133,2022-12-16 15:36:35,"slow",84
"21","David Schultz","inne","Feliz Navidad",0.368,2022-12-16 15:46:47,"medium",5
"22","David Schultz","inne","Oh Come All Ye Faithful",0.0784,2022-12-16 15:57:55,"slow",61
"23","David Schultz","inne","Winter Wonderland",0.0611,2022-12-16 16:16:37,"slow",97
"24","David Schultz","wolne","Feliz Navidad",0.368,2022-12-16 15:46:47,"medium",65
"25","Dawid Podsiadlo","inne","And I",0.72,2022-12-15 22:24:43,"fast",12
"26","Dawid Podsiadlo","studia","And I",0.72,2022-12-15 22:24:43,"fast",3
"27","Dawid Podsiadlo","wolne","And I",0.72,2022-12-15 22:24:43,"fast",303
"28","GOLEC UORKIESTRA","studia","B,0.648,2022-12-22 14:10:59,"medium",11
"29","GOLEC UORKIESTRA","wolne","B,0.648,2022-12-22 14:10:59,"medium",136
"30","GOLEC UORKIESTRA","wolne","Przybiezeli do Betlejem",0.822,2022-12-22 13:58:33,"fast",143
"31","Gregory Oberle","inne","White Christmas",0.0223,2022-12-16 15:33:21,"slow",98
"32","Henry Smith","inne","A Holly Jolly Christmas - Piano Version",0.0129,2022-12-16 14:49:14,"slow",166
"33","Henry Smith","inne","A Holly Jolly Christmas - Piano Version",0.0129,2022-12-18 11:06:14,"slow",7
"34","Henry Smith","inne","I Saw Mommy Kissing Santa Claus - Piano Version",0.037,2022-12-16 14:52:30,"slow",150
"35","Henry Smith","inne","I Saw Mommy Kissing Santa Claus - Piano Version",0.037,2022-12-18 11:28:30,"slow",20
"36","Henry Smith","inne","It's Beginning to Look a Lot Like Christmas - Piano Version",0.0258,2022-12-16 14:54:39,"slow",66
"37","Henry Smith","inne","Jingle Bell Rock - Piano Version",0.0149,2022-12-16 14:42:44,"slow",136
"38","Henry Smith","inne","Little Drummer Boy - Piano Version",0.058,2022-12-18 11:46:53,"slow",23
"39","Henry Smith","inne","Rockin' Around the Christmas Tree - Piano Version",0.0192,2022-12-16 14:47:20,"slow",129
"40","Henry Smith","inne","Rockin' Around the Christmas Tree - Piano Version",0.0192,2022-12-18 11:01:20,"slow",21
"41","Henry Smith","inne","Rudolph the Red-Nosed Reindeer - Piano Version",0.0255,2022-12-18 11:26:24,"slow",146
"42","Henry Smith","inne","Sleigh Ride - Piano Version",0.0619,2022-12-16 14:44:31,"slow",138
"43","Henry Smith","inne","Sleigh Ride - Piano Version",0.0619,2022-12-18 11:23:31,"slow",76
"44","Henry Smith","inne","The Christmas Song (Merry Christmas to You) - Piano Version",0.0123,2022-12-18 11:19:39,"slow",23
"45","Henry Smith","inne","The Night Before Christmas Song - Piano Version",0.0386,2022-12-16 14:37:29,"slow",120
"46","Henry Smith","inne","We Wish You a Merry Christmas - Piano Version",0.0138,2022-12-16 14:39:53,"slow",156
"47","Henry Smith","inne","We Wish You a Merry Christmas - Piano Version",0.0138,2022-12-18 11:21:53,"slow",121
"48","Henry Smith","studia","A Holly Jolly Christmas - Piano Version",0.0129,2022-12-18 11:06:14,"slow",14
"49","Henry Smith","studia","Angels We Have Heard on High - Piano Version",0.0314,2022-12-18 11:44:23,"slow",156
"50","Henry Smith","studia","I Saw Mommy Kissing Santa Claus - Piano Version",0.037,2022-12-18 11:28:30,"slow",120
"51","Henry Smith","studia","Little Drummer Boy - Piano Version",0.058,2022-12-18 11:46:53,"slow",125
"52","Henry Smith","studia","Rockin' Around the Christmas Tree - Piano Version",0.0192,2022-12-18 11:01:20,"slow",112
"53","Henry Smith","studia","Rudolph the Red-Nosed Reindeer - Piano Version",0.0255,2022-12-18 11:26:24,"slow",2
"54","Henry Smith","studia","Sleigh Ride - Piano Version",0.0619,2022-12-18 11:23:31,"slow",25
"55","Henry Smith","studia","The Christmas Song (Merry Christmas to You) - Piano Version",0.0123,2022-12-18 11:19:39,"slow",116
"56","Henry Smith","studia","The Night Before Christmas Song - Piano Version",0.0386,2022-12-18 11:49:29,"slow",129
"57","Henry Smith","studia","We Wish You a Merry Christmas - Piano Version",0.0138,2022-12-16 14:39:53,"slow",2
"58","Henry Smith","studia","We Wish You a Merry Christmas - Piano Version",0.0138,2022-12-18 11:21:53,"slow",4
"59","Henry Smith","studia","White Christmas - Piano Version",0.00903,2022-12-18 11:14:39,"slow",15
"60","Henry Smith","wolne","A Holly Jolly Christmas - Piano Version",0.0129,2022-12-18 11:06:14,"slow",147
"61","Henry Smith","wolne","It's Beginning to Look a Lot Like Christmas - Piano Version",0.0258,2022-12-18 11:04:39,"slow",102
"62","Henry Smith","wolne","Jingle Bell Rock - Piano Version",0.0149,2022-12-18 11:09:44,"slow",136
"63","Henry Smith","wolne","O Holy Night - Piano Version",0.00193,2022-12-18 11:16:28,"slow",140
"64","Henry Smith","wolne","Rockin' Around the Christmas Tree - Piano Version",0.0192,2022-12-18 11:01:20,"slow",6
"65","Henry Smith","wolne","Rudolph the Red-Nosed Reindeer - Piano Version",0.0255,2022-12-18 11:26:24,"slow",11
"66","Henry Smith","wolne","Santa Baby - Piano Version",0.00449,2022-12-18 11:11:58,"slow",182
"67","Henry Smith","wolne","The Night Before Christmas Song - Piano Version",0.0386,2022-12-16 14:37:29,"slow",9
"68","Henry Smith","wolne","White Christmas - Piano Version",0.00903,2022-12-18 11:14:39,"slow",112
"69","Ian Wong","inne","I Saw Three Ships",0.0924,2022-12-16 15:54:14,"slow",59
"70","Ian Wong","wolne","I Saw Three Ships",0.0924,2022-12-16 15:54:14,"slow",24
"71","Jason Mraz","studia","Winter Wonderland - Bonus Track",0.305,2022-12-22 18:54:39,"slow",80
"72","Joseph Sullinger","inne","O Come, All Ye FaithFul (Adeste Fideles)",0.221,2022-12-16 15:52:26,"slow",23
"73","Joseph Sullinger","wolne","O Come, All Ye FaithFul (Adeste Fideles)",0.221,2022-12-16 15:52:26,"slow",74
"74","Jos,"inne","Feliz Navidad",0.831,2022-12-18 12:28:57,"fast",149
"75","Jos,"inne","Feliz Navidad",0.831,2022-12-22 13:51:57,"fast",167
"76","Jos,"inne","Feliz Navidad",0.831,2022-12-22 18:55:57,"fast",59
"77","Jos,"studia","Feliz Navidad",0.831,2022-12-18 12:28:57,"fast",3
"78","Jos,"studia","Feliz Navidad",0.831,2022-12-22 18:55:57,"fast",78
"79","Jos,"studia","Feliz Navidad",0.831,2022-12-23 19:56:57,"fast",1
"80","Jos,"wolne","Feliz Navidad",0.831,2022-12-18 12:28:57,"fast",13
"81","Jos,"wolne","Feliz Navidad",0.831,2022-12-23 19:56:57,"fast",223
"82","Jos,"wolne","Feliz Navidad",0.831,2022-12-23 20:33:57,"fast",153
"83","Justin Bieber","inne","Mistletoe",0.56,2022-12-18 12:42:57,"medium",182
"84","KALEO","wolne","Way down We Go",0.505,2022-12-19 10:02:26,"medium",231
"85","Lake Isabel","inne","Jolly Old Saint Nicholas",0.0466,2022-12-16 15:56:04,"slow",79
"86","LemON","inne","Do swiat",0.123,2022-12-22 18:58:56,"slow",63
"87","LemON","studia","Cicha noc",0.0931,2022-12-22 14:06:09,"slow",179
"88","LemON","studia","Tycha nicz",0.0426,2022-12-23 20:48:25,"slow",117
"89","LemON","wolne","Cicha noc",0.0931,2022-12-22 14:06:09,"slow",2
"90","LemON","wolne","Tycha nicz",0.0426,2022-12-23 20:48:25,"slow",78
"91","Maisie Peters","wolne","Worst of You",0.466,2022-12-19 09:59:42,"medium",180
"92","Music Lab Collective","inne","Silent Night (Arr.Guitar)",0.0216,2022-12-16 15:30:19,"slow",101
"93","Nat King Cole","inne","Joy To The World",0.337,2022-12-18 12:41:35,"medium",84
"94","Pawbeats","inne","Pod sniegiem",0.485,2022-12-19 09:58:35,"medium",24
"95","Pentatonix","inne","White Christmas (feat. The Manhattan Transfer)",0.419,2022-12-18 12:45:41,"medium",20
"96","Pierre Oslonn","inne","Angels We Have Heard On High",0.13,2022-12-16 15:44:34,"slow",27
"97","Pierre Oslonn","wolne","Angels We Have Heard On High",0.13,2022-12-16 15:44:34,"slow",45
"98","Red Hot Chili Peppers","inne","I Could Die for You",0.734,2022-12-19 09:55:47,"fast",179
"99","Red Hot Chili Peppers","wolne","I Could Die for You",0.734,2022-12-19 09:55:47,"fast",23
"100","Rick Gallagher Project","inne","The Wassail Song",0.107,2022-12-16 15:27:54,"slow",125
"101","Sam Smith","studia","Have Yourself A Merry Little Christmas",0.178,2022-12-22 18:54:09,"slow",110
"102","Sia","inne","Snowflake",0.354,2022-12-18 12:34:57,"medium",242
"103","Simon Berggren","inne","A Child Is Born",0.014,2022-12-16 15:35:22,"slow",97
"104","Simon Berggren","inne","Prepare The Way, O Zion",0.0112,2022-12-16 15:23:33,"slow",59
"105","The Cassino","inne","Coming Down",0.462,2022-12-15 22:34:03,"medium",37
"106","The Cassino","studia","Coming Down",0.462,2022-12-15 22:34:03,"medium",73
"107","The Cassino","wolne","Coming Down",0.462,2022-12-15 22:34:03,"medium",109
"108","Three Good Reasons","inne","It's Beginning to Look a Lot Like Christmas",0.0213,2022-12-16 16:01:46,"slow",106
"109","Three Good Reasons","inne","Santa Baby",0.0343,2022-12-16 15:48:24,"slow",73
"110","Three Good Reasons","wolne","It's Beginning to Look a Lot Like Christmas",0.0213,2022-12-16 16:01:46,"slow",60
"111","Three Good Reasons","wolne","Santa Baby",0.0343,2022-12-16 15:48:24,"slow",90
"112","Twenty One Pilots","inne","Chlorine",0.674,2022-12-19 10:16:35,"fast",278
"113","Twenty One Pilots","wolne","Stressed Out",0.637,2022-12-19 10:06:37,"medium",202
"114","Us The Duo","inne","Winter Wonderland",0.316,2022-12-18 12:38:17,"slow",162
"115","Wendy Salisbury","inne","We Wish You a Merry Christmas",0.0457,2022-12-16 15:31:31,"slow",88
"116","Wide Eyed","inne","Christmas by Candlelight - Solo Piano Version",0.164,2022-12-16 15:58:43,"slow",139
"117","Wide Eyed","wolne","Christmas by Candlelight - Solo Piano Version",0.164,2022-12-16 15:58:43,"slow",35
